Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Ch3Amplitude,Ch4Amplitude,Ch5Amplitude,Ch6Amplitude,Bd,IPC,
309.9233,2763.484,-10.06412,-38.1299,214.7162,30.15559,0,0,
278.9203,2667.949,3.565994,-1.195909,243.2595,-8.690209,0,0,
391.5447,2654.561,23.9943,1.632655,174.7595,130.9991,0,0,
277.9203,2768.936,-12.31024,-84.9028,252.0491,10.86548,0,0,
226.606,2677.03,-3.881198,-34.84137,285.725,18.62974,0,0,
360.5586,2752.743,28.30207,9.816605,231.8806,35.60417,0,0,
448.3174,2434.674,-4.420582,-10.28571,259.3294,-17.83978,0,0,
212.4175,2759.466,8.629017,-90.95377,171.2552,80.57001,0,0,
342.4082,2607.487,-48.33801,-1.914629,187.2788,84.00561,0,0,
271.4521,2664.777,0.9701355,48.66388,240.5722,38.75072,0,0,
310.1035,2650.749,-38.64289,20.46803,251.7502,28.72128,0,0,
330.6168,2671.442,-20.73566,-21.35644,164.9847,57.91824,0,0,
341.7465,2668.542,-13.15635,-6.335196,263.5205,49.30352,0,0,
413.4828,2538.461,11.40816,-31.37461,192.1948,66.65066,0,0,
320.7583,2571.332,-11.64606,-59.53705,240.3547,44.39208,0,0,
294.702,2633.421,-16.27083,-19.86551,190.1787,61.29862,0,0,
335.9059,2666.218,0.4277446,40.13332,245.3617,17.24578,0,0,
276.1183,2625.717,11.94531,-16.41726,234.5474,50.65983,0,0,
324.1168,2628.662,5.39071,-36.95677,168.2298,109.3481,0,0,
312.1699,2706.101,-20.4829,-0.02229947,204.9783,58.77935,0,0,
291.9709,2710.508,25.86516,-35.89355,235.0295,12.00477,0,0,
356.3146,2666.768,-9.563097,4.900928,263.8094,41.01935,0,0,
389.1458,2494.237,-5.227688,-8.348748,226.2904,19.98993,0,0,
409.9998,2631.945,-19.71182,-12.32108,224.7236,30.96119,0,0,
320.5285,2601.56,3.7222,20.63972,218.3554,65.92159,0,0,
315.9159,2788.296,-11.43351,-13.62474,240.7014,44.73587,0,0,
324.6651,2628.467,-9.337038,-18.47147,304.1986,-4.075309,0,0,
295.7679,2668.118,-15.10677,7.221929,249.8618,37.36462,0,0,
318.6974,2633.449,-19.50706,6.501722,226.2283,65.2553,0,0,
390.9099,2610.113,46.24285,39.1736,273.4814,19.61848,0,0,
361.6236,2544.023,29.27302,-44.01938,185.9275,66.08926,0,0,
313.2918,2710.677,-33.18719,57.75493,254.2409,33.56189,0,0,
400.3362,2563.911,-13.8341,67.92635,252.686,21.44576,0,0,
379.9167,2615.196,2.694466,11.73958,285.2784,26.36109,0,0,
344.61,2713.625,1.192409,-8.545807,189.1487,72.75995,0,0,
358.8394,2619.094,9.089744,13.05235,239.9703,29.77957,0,0,
344.3201,2560.656,8.353406,-37.55238,252.1588,28.68497,0,0,
